Year,Month,Flu_Deaths,All_Deaths,Deaths_Age_Group_Under_1,Deaths_Age_Group_1_to_24,Deaths_Age_Group_25_to_44,Deaths_Age_Group_45_to_64,Deaths_Age_Group_Above_65
2010,Apr,2519.0,35138.0,849.2292265325668,990.6241155879943,2271.033323326328,8340.035944829517,23341.0
2010,Aug,2294.0,35425.0,990.2600574712642,1052.6588217770166,2282.8536975883117,8799.071889659035,22886.0
2010,Dec,2397.0,35116.0,828.2138110632183,974.9247039547181,2221.033323326328,8208.0,23491.0
2010,Feb,2661.0,35355.0,845.3140116139846,910.6588217770163,2115.6962874011806,8288.0,23606.0
2010,Jan,2702.0,35900.0,872.2369342672412,925.3582334102925,2161.527769438607,8330.553917244277,24221.0
2010,Jul,2573.0,39642.0,1051.02111769636,1207.4738214046324,2665.9490643450413,9685.035944829517,25724.0
2010,Jun,2104.0,32026.0,859.1906878591952,999.6241155879941,2084.1064745321723,7741.0,20904.0
2010,Mar,2667.0,35704.0,922.2523497365898,916.3582334102927,2195.527769438607,8396.517972414758,23849.0
2010,May,2771.0,40596.0,959.3448425526819,1116.0576450435688,2651.6120284198937,9822.035944829517,26623.0
2010,Nov,2420.0,34937.0,925.1906878591954,994.7744097713563,2311.3703592514757,8304.589862073793,23158.0
2010,Oct,2303.0,35880.0,882.1752723898467,995.5085275936547,2311.359251476033,8725.517972414758,23533.0
2010,Sep,1998.0,31364.0,839.3063038793101,917.8091159603784,2108.274992494746,7659.035944829518,20378.0
2011,Apr,3132.0,39080.0,937.1983955938696,1087.1905861324199,2547.6962874011806,9390.553917244277,25791.0
2011,Aug,2257.0,36605.0,917.4604585727968,1001.9941163327624,2491.516661663164,8949.517972414758,23617.0
2011,Dec,2789.0,41261.0,965.3756734913792,1040.3582334102928,2480.1907335134592,9724.0,27540.0
2011,Feb,3062.0,37268.0,818.2677652059386,934.0576450435688,2288.44351045732,8870.035944829517,24966.0
2011,Jan,2778.0,36481.0,798.1213182471263,928.4564683101213,2198.1907335134592,8696.035944829517,24583.281027562964
2011,Jul,2644.0,40298.0,921.3987966954021,1204.1097043271022,2814.44351045732,9889.035944829517,25988.0
2011,Jun,2193.0,32494.0,775.3987966954022,966.1097043271021,2235.117582307615,8037.035944829518,21057.0
2011,Mar,3205.0,36921.0,841.3217193486589,938.2252923214419,2231.9379565695986,9018.517972414758,24401.0
2011,May,2549.0,34416.0,808.4527508381224,891.0923512325912,2236.274992494746,8345.035944829517,22652.0
2011,Nov,2354.0,35168.0,838.4450431034481,925.9941163327622,2169.7694386070248,8467.071889659035,23190.0
2011,Oct,2488.0,39671.0,968.391088960728,1109.6761748715276,2575.9379565695986,9380.517972414758,26112.0
2011,Sep,2391.0,36509.0,867.4989972461685,1007.5605868771878,2362.1064745321723,8986.517972414758,23716.0
2012,Apr,2388.0,33224.0,757.5067049808428,874.8438221494005,2034.9379565695986,7866.517972414758,22116.0
2012,Aug,2189.0,36759.0,750.0,863.0,2260.0,8953.0,23899.0
2012,Dec,2471.0,37829.0,654.0,806.0,2193.0,8865.0,25290.0
2012,Feb,2575.0,35394.0,814.4604585727968,892.2773516049751,2229.274992494746,8329.035944829517,23611.0
